trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,13,-74.73550264822866,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.73358026035356,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-209.57786825324237,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 5}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.39936172538746,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-22.28610946081603,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
