trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.35, 'e': 1.0}",25,0,-115.69655493940807,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.35, 'e': 0.9393727128473789}",20,0,-48.56604891748428,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
3,False,"{'a': 0.35, 'e': 0.7648421872844885}",30,0,-147.09407184153187,"{0: 20, 1: 2, 2: 4, 3: 2, 4: 2}",0
