trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.35, 'e': 0.07259425957140782}",25,11,12.286828214437248,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.35, 'e': 0.07205342668876856}",25,11,16.226608074550846,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.35, 'e': 0.07153689776314873}",20,0,-14.523556722286731,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
45,False,"{'a': 0.35, 'e': 0.0710430706026549}",20,14,11.917987675995722,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.35, 'e': 0.0705704808105944}",20,11,7.0552750637588835,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.35, 'e': 0.07011778728411183}",20,0,0.27480211973599356,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
48,False,"{'a': 0.35, 'e': 0.06968375950633406}",20,0,13.339443216647059,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
49,False,"{'a': 0.35, 'e': 0.06926726637847067}",30,0,-11.602727913149755,"{0: 25, 1: 4, 2: 0, 3: 1, 4: 0}",0
50,False,"{'a': 0.35, 'e': 0.06886726637847067}",30,0,-38.23918027710306,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
51,False,"{'a': 0.35, 'e': 0.06848279886597547}",20,0,7.3390920254274015,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
52,False,"{'a': 0.35, 'e': 0.06811297638076837}",35,5,-8.225512657390542,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",1
53,False,"{'a': 0.35, 'e': 0.06775697780476267}",20,0,-56.997310811992214,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
54,False,"{'a': 0.35, 'e': 0.06741404227664195}",20,0,18.71407459610504,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
55,False,"{'a': 0.35, 'e': 0.06708346376424526}",25,14,16.226364538794,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.35, 'e': 0.06676458621322486}",20,0,-31.703434447727417,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
57,False,"{'a': 0.35, 'e': 0.06645679920183674}",20,4,-40.23060404361232,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 1}",1
58,False,"{'a': 0.35, 'e': 0.06615953404131356}",20,6,24.725270780474073,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.35, 'e': 0.06587226026940893}",30,9,-6.7250518494796765,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
60,False,"{'a': 0.35, 'e': 0.06559448249163115}",20,0,-34.140712896967926,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
61,False,"{'a': 0.35, 'e': 0.06532573753059917}",30,23,4.96652940672267,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.35, 'e': 0.06506559184901749}",30,10,1.5872240450605661,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
63,False,"{'a': 0.35, 'e': 0.06481363921611247}",20,2,20.341366389899115,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.35, 'e': 0.06456949859111247}",20,10,18.24433410958255,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.35, 'e': 0.06433281220057992}",25,5,25.043293085635376,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.35, 'e': 0.06410324378919333}",20,0,19.62941586351693,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
67,False,"{'a': 0.35, 'e': 0.06388047702599439}",35,16,31.361347906251037,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.35, 'e': 0.06366421405021584}",25,15,15.85089650371734,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
